Date|Symbol|Short Volume|Total Volume|Market
20151214|A|296980|720519|N
20151214|AA|5291896|16138472|N
20151214|AAC|12553|27628|N
20151214|AAN|133870|233272|N
20151214|AAP|95208|154611|N
20151214|AAPRB|26859|44997|N
20151214|AAT|36275|85469|N
20151214|AAV|9494|16296|N
20151214|AB|54202|106904|N
20151214|ABB|470713|856884|N
20151214|ABBV|1152577|2795728|N
20151214|ABC|274489|567146|N
20151214|ABEV|2201965|6258836|N
20151214|ABG|25646|57057|N
20151214|ABM|37259|98105|N
20151214|ABR|8709|25747|N
20151214|ABRN|1651|4163|N
20151214|ABRPRA|3942|6518|N
20151214|ABRPRB|1700|3900|N
20151214|ABRPRC|809|1092|N
20151214|ABT|898847|1620559|N
20151214|ABX|2642896|5092684|N
20151214|AC|3073|24507|N
20151214|ACC|73993|150305|N
20151214|ACCO|97686|156751|N
20151214|ACE|582288|939031|N
20151214|ACG|17865|92182|N
20151214|ACH|39867|45337|N
20151214|ACI|53594|107969|N
20151214|ACM|112004|199954|N
20151214|ACN|478201|842813|N
20151214|ACP|13495|45055|N
20151214|ACRE|20105|41923|N
20151214|ACV|10828|22495|N
20151214|ACW|26438|68220|N
20151214|ADC|12881|33802|N
20151214|ADM|697801|1293603|N
20151214|ADPT|29551|50261|N
20151214|ADS|82974|127445|N
20151214|ADT|455406|641199|N
20151214|ADX|11521|43063|N
20151214|AEB|8951|10612|N
20151214|AED|23885|29007|N
20151214|AEE|283964|559598|N
20151214|AEG|442834|743910|N
20151214|AEH|23975|37440|N
20151214|AEK|25798|37281|N
20151214|AEL|84716|157296|N
20151214|AEM|480259|674298|N
20151214|AEO|579720|823686|N
20151214|AEP|480782|1236768|N
20151214|AER|365475|610693|N
20151214|AES|1109905|1740872|N
20151214|AESPRC|934|5858|N
20151214|AET|511774|929756|N
20151214|AEUA|3990|4636|N
20151214|AF|132911|198704|N
20151214|AFA|17978|34543|N
20151214|AFB|889|20355|N
20151214|AFC|12112|15730|N
20151214|AFG|36782|100696|N
20151214|AFGE|722|2283|N
20151214|AFGH|3834|26281|N
20151214|AFL|423331|753234|N
20151214|AFPRC|4960|6244|N
20151214|AFSD|13944|20554|N
20151214|AFSIPRA|4313|7788|N
20151214|AFSIPRB|15109|15462|N
20151214|AFSIPRC|2100|7893|N
20151214|AFSIPRD|5109|7636|N
20151214|AFSS|9280|13204|N
20151214|AFST|8939|10689|N
20151214|AFT|4721|21216|N
20151214|AFW|10277|14596|N
20151214|AG|139789|220242|N
20151214|AGC|6640|28881|N
20151214|AGCO|163495|229967|N
20151214|AGD|4196|16650|N
20151214|AGI|136113|260462|N
20151214|AGM|4943|9803|N
20151214|AGMA|0|0|N
20151214|AGMPRA|1|501|N
20151214|AGMPRB|0|240|N
20151214|AGMPRC|0|0|N
20151214|AGN|151734|306328|N
20151214|AGNPRA|1700|4345|N
20151214|AGO|320685|566617|N
20151214|AGOPRB|3519|5611|N
20151214|AGOPRE|6993|10034|N
20151214|AGOPRF|2100|2400|N
20151214|AGRO|98583|168774|N
20151214|AGU|78319|111662|N
20151214|AGX|24146|56853|N
20151214|AHC|650|7962|N
20151214|AHH|10153|30517|N
20151214|AHL|68260|129458|N
20151214|AHLPRA|4594|7602|N
20151214|AHLPRB|2320|2868|N
20151214|AHLPRC|4358|7790|N
20151214|AHP|41749|85145|N
20151214|AHS|113081|253195|N
20151214|AHT|160587|241105|N
20151214|AHTPRA|4443|5443|N
20151214|AHTPRD|3985|14113|N
20151214|AHTPRE|1400|2300|N
20151214|AI|109638|188530|N
20151214|AIB|12500|19603|N
20151214|AIC|300|519|N
20151214|AIF|8277|27270|N
20151214|AIG|1539488|3002505|N
20151214|AIGWS|4920|19698|N
20151214|AIN|10114|31058|N
20151214|AIR|39980|79289|N
20151214|AIT|27516|64086|N
20151214|AIV|244552|409555|N
20151214|AIVPRA|0|3462|N
20151214|AIVPRZ|300|800|N
20151214|AIW|100|500|N
20151214|AIY|3172|3805|N
20151214|AIZ|75746|165330|N
20151214|AJG|246280|489715|N
20151214|AJRD|17423|77350|N
20151214|AJX|1452|5131|N
20151214|AKOA|265|740|N
20151214|AKOB|5114|12624|N
20151214|AKP|969|6412|N
20151214|AKR|37863|85549|N
20151214|AKS|452393|847254|N
20151214|AL|84492|142272|N
20151214|ALB|407798|537218|N
20151214|ALDW|24127|56801|N
20151214|ALE|36859|84922|N
20151214|ALEX|23239|49745|N
20151214|ALG|6428|10190|N
20151214|ALJ|74474|131317|N
20151214|ALK|153356|239661|N
20151214|ALL|379684|759445|N
20151214|ALLE|101949|220499|N
20151214|ALLPRA|9560|13830|N
20151214|ALLPRB|7957|20360|N
20151214|ALLPRC|9035|15282|N
20151214|ALLPRD|814|914|N
20151214|ALLPRE|19821|36579|N
20151214|ALLPRF|5600|9354|N
20151214|ALLY|849921|1453830|N
20151214|ALLYPRA|41480|122229|N
20151214|ALLYPRB|27401|32723|N
20151214|ALPPRO|400|500|N
20151214|ALR|87907|172470|N
20151214|ALRPRB|0|1063|N
20151214|ALSN|223845|385395|N
20151214|ALU|854378|1314556|N
20151214|ALV|39459|54324|N
20151214|ALX|605|838|N
20151214|AM|47712|137519|N
20151214|AMBR|4096|10595|N
20151214|AMC|18432|27329|N
20151214|AME|377388|698337|N
20151214|AMFW|52532|126774|N
20151214|AMG|111016|304207|N
20151214|AMH|450820|904125|N
20151214|AMHPRA|1986|3051|N
20151214|AMHPRB|500|1601|N
20151214|AMHPRC|1000|5866|N
20151214|AMID|40573|95015|N
20151214|AMP|260032|516953|N
20151214|AMRC|11500|16439|N
20151214|AMT|246355|552665|N
20151214|AMTG|87769|135306|N
20151214|AMTGPRA|8147|19163|N
20151214|AMTPRA|2320|3825|N
20151214|AMTPRB|4301|4864|N
20151214|AMX|780337|1403012|N
20151214|AN|64916|128544|N
20151214|ANET|63040|95841|N
